ID,Date,Amount,Vendor,Description,Category,SubCategory,Person,PaymentMode,RecurrenceType,Notes,ImportSessionID
11297,2010-04-18,330,"Fruits","Fruits","food","","",UPI,must,"",
11296,2018-01-03,630,"Biryani","Biryani - 6 nos","food","hotel","",UPI,must,"",
11294,2018-02-03,200,"Metro to Office and office to metro","Metro to Office and office to metro","Travel","","",UPI,must,"",
11295,2018-02-03,64,"Juice","Juice","food","","",UPI,must,"",
11292,2018-03-30,1068,"movie tickets","movie tickets","Entertainment","movie","",UPI,must,"",
11293,2018-03-30,700,"theatre eating + dinner","theatre eating + dinner","food","","",UPI,nice to have,"",
11286,2018-04-30,28000,"Monthly expenses","Monthly expenses","house-monthly","","",UPI,must,"",
11287,2018-04-30,3108,"Dinner with Family after Lakshmi Temple","Dinner with Family after Lakshmi Temple","food","","",UPI,onetime,"",
11288,2018-04-30,2500,"Lakshmi Temple","Lakshmi Temple - Cab Charge","Travel","goranahalli","",UPI,onetime,"",
11289,2018-04-30,3300,"Rice etc","Rice etc","pooja","goranahalli","",UPI,onetime,"",
11290,2018-04-30,450,"Idlies Breakfast","Idlies Breakfast","Travel","goranahalli","",UPI,onetime,"",
11291,2018-04-30,1800,"Food misc","Food misc","Travel","goranahalli","",UPI,onetime,"",
11284,2018-05-01,14576,"Citibank Credit Card Payment","Citibank Credit Card Payment","creditcard","","",UPI,must,"",
11285,2018-05-01,5500,"Vinutha monthly expenses","Vinutha monthly expenses","vinutha-monthly expense","","",UPI,must,"",
11280,2018-05-03,1725,"PADMASHREE MEDICARE PVT BENGALURU IN","PADMASHREE MEDICARE PVT BENGALURU IN","medical","tests","Seenu",UPI,must,"",
11281,2018-05-03,114,"Medicines","Medicines","medical","medicines","Seenu",UPI,must,"",
11282,2018-05-03,4500,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,onetime,"",
11283,2018-05-03,6000,"Bajaj Finance TV Loan","Bajaj Finance TV Loan","tvloan","","",UPI,must,"",
11279,2018-05-04,2400,"Kishan Specs","Kishan Specs","spectacles","","",UPI,must,"",
11277,2018-05-06,599,"OLA Cabs Ola Money","OLA Cabs Ola Money","Travel","","",UPI,must,"",
11278,2018-05-06,4000,"Withdrawn from Yes Bank","Withdrawn from Yes Bank","bnk-withdraw","","",UPI,onetime,"",
11276,2018-05-08,3013,"Diesel","Diesel - I20","petrol-diesel","","",UPI,must,"",
11274,2018-05-09,210,"Auto to Dell office","Auto to Dell office - interview + parking charges","Travel","","",UPI,must,"",
11275,2018-05-09,55,"Lunch at Dell Office","Lunch at Dell Office","food","","",UPI,must,"",
11267,2018-05-10,843,"2 wheeler Service","2 wheeler Service","vehicle-expense","","",UPI,must,"",
11268,2018-05-10,100,"Dosa chats","Dosa chats - mg road during bank","food","","",UPI,must,"",
11269,2018-05-10,100,"Metro card charge for kishan","Metro card charge for kishan","Travel","","",UPI,must,"",
11270,2018-05-10,160,"Mangoes","Mangoes - 2kg","food","groceries","",UPI,must,"",
11271,2018-05-10,210,"Medicines for gout","Medicines for gout","medical","medicines","Seenu",UPI,must,"",
11272,2018-05-10,550,"Onions, Chillies etc","Onions, Chillies etc","food","groceries","",UPI,must,"",
11273,2018-05-10,150,"Vegetables","Vegetables","food","groceries","",UPI,must,"",
11266,2018-05-11,1700,"Linked in subscription charge","Linked in subscription charge","professional","","",UPI,onetime,"",
11264,2018-05-12,16000,"Bandi Mahakalamma function","Bandi Mahakalamma function","pooja","","",UPI,onetime,"",
